# time (s), omega_x (rad/s), omega_y (rad/s), omega_z (rad/s)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000009999999999961e-02,1.985754997517556934e-05,9.928779952263265933e-10,8.824304440091472468e-02
2.000009999999999982e-02,-9.049374276049288411e-05,3.619747900549384937e-08,1.621520129796743814e-01
2.999999999999999889e-02,9.613309575617647572e-05,2.787876504188262096e-07,3.318546052301858951e-01
4.000900000000000289e-02,-3.580451356991962831e-05,-2.005087848952873253e-07,6.533255448924027431e-02
5.000879999999999909e-02,-8.498451089512745421e-06,-4.589237016129012495e-08,-2.082381995831778798e-01
6.000840000000000340e-02,-1.460467470787671124e-05,2.920940783459830778e-09,-7.482214965141333884e-01
7.000810000000000366e-02,-4.755436190354380734e-05,3.947150188250712459e-07,-7.466811549763975320e-01
8.000770000000000104e-02,3.247983507429648805e-05,-5.944790709062884885e-07,-1.380527112962567138e+00
9.000729999999999842e-02,-4.612426057940097364e-06,1.529860661570935019e-07,-1.768065326250628067e+00
1.000069999999999987e-01,-4.556572172273934672e-05,2.438975561132807603e-06,-2.278804283619388027e+00
1.100069999999999937e-01,-2.437896034249803186e-05,1.896296226201551941e-06,-2.226688355544242715e+00
1.200070000000000026e-01,-1.985835843735229731e-05,1.984798040838078666e-06,-2.210275969981251531e+00
1.300070000000000114e-01,-9.433310181839592125e-06,1.154750075153371615e-06,-2.218769975783586812e+00
1.400069999999999926e-01,8.545538006926237237e-05,-1.237319992313371877e-05,-2.375557804641164505e+00
1.500070000000000014e-01,9.150585769334241366e-06,-1.548453585814790804e-06,-2.275676202697814343e+00
1.600070000000000103e-01,-7.267733857367886942e-06,1.379645136545488511e-06,-1.751214544963778152e+00
1.700069999999999915e-01,-8.498293991250803416e-06,1.772756801525592721e-06,-1.752845130099188742e+00
1.800070000000000003e-01,-1.605993934746492492e-07,3.647104105518242897e-08,-1.997278399672181237e+00
1.900070000000000092e-01,2.976792711461707445e-06,-7.458860500214109106e-07,-2.490680244935839394e+00
2.000059999999999893e-01,-4.170549312966031710e-05,1.155696994944055856e-05,-2.381503960628988281e+00
2.100059999999999982e-01,-4.713386370925097486e-05,1.439865978214855254e-05,-2.739621029383418893e+00
2.200060000000000071e-01,-4.661605244203315373e-05,1.575026217721647040e-05,-3.148498070714372599e+00
2.300049999999999872e-01,2.689321916458078585e-05,-1.015304901814960356e-05,-4.021711217232393665e+00
2.400049999999999961e-01,-1.167123450845435311e-05,4.967076491344555012e-06,-4.182526892978883026e+00
2.500049999999999772e-01,1.551755981810760878e-05,-7.387554643718599996e-06,-4.229193350067230739e+00
2.600049999999999861e-01,-2.433171710413628306e-05,1.287680112627665214e-05,-4.113266300085336447e+00
2.700049999999999950e-01,4.407627809049608525e-06,-2.576115124163355819e-06,-4.427456646237722282e+00
2.800050000000000039e-01,2.538302540191405277e-05,-1.640422215520767935e-05,-4.490199750745905050e+00
2.900050000000000128e-01,-3.557187239359064878e-06,2.517377284919749456e-06,-3.963322015811539423e+00
3.000050000000000217e-01,-1.073662716812394307e-05,8.252381404117752674e-06,-3.712597648222266677e+00
3.100049999999999750e-01,6.820291273295010300e-06,-5.646241392938121654e-06,-3.684301411033008566e+00
3.200049999999999839e-01,1.820801293456484954e-05,-1.630289265503544446e-05,-4.083451975414504886e+00
3.300040000000000195e-01,1.934578051669931588e-05,-1.877559760431337811e-05,-4.032396797430529034e+00
3.400039999999999729e-01,-1.413087469774765534e-05,1.489465027167600727e-05,-4.215890531012333575e+00
3.500039999999999818e-01,6.325177464667778339e-06,-7.262205125009033992e-06,-4.348661053531118981e+00
3.600039999999999907e-01,-3.620413588480611415e-06,4.578269082023005559e-06,-5.165514171187258974e+00
3.700030000000000263e-01,-7.592472030934314733e-06,1.073808441475615155e-05,-5.489330364958030728e+00
3.800029999999999797e-01,6.481171583535504213e-06,-1.034814038629673919e-05,-5.726679846535532192e+00
3.900029999999999886e-01,-6.714840793458655343e-06,1.221621492494805895e-05,-5.512908568701274881e+00
4.000029999999999974e-01,7.053049542838228459e-06,-1.475367794469889484e-05,-5.847385159048417158e+00
4.100030000000000063e-01,4.181979681463838025e-06,-1.026949617390347846e-05,-5.909510263064096769e+00
4.200030000000000152e-01,4.873198701822548230e-06,-1.423958292689741458e-05,-5.587479584225710560e+00
4.300030000000000241e-01,3.052159254555715846e-06,-1.077862002852178991e-05,-5.107315268223416638e+00
4.400020000000000042e-01,6.716146420853341431e-07,-2.904368157051663601e-06,-4.792232075863871898e+00
4.500020000000000131e-01,-6.865856296172489421e-06,3.819884548724068063e-05,-4.948516008283471379e+00
4.600020000000000220e-01,2.278472937004149886e-06,-1.760557487552691724e-05,-4.917810634282647975e+00
4.700019999999999754e-01,-7.352337892635667225e-07,9.218953136107624425e-06,-4.925184049867689318e+00
4.800019999999999842e-01,-1.742167037985362468e-07,5.467149901509826796e-06,-4.747205080679552935e+00
4.900019999999999931e-01,1.212457376558966256e-07,6.137827581622442072e-06,-5.422405541662684847e+00
5.000019999999999465e-01,-2.405378257326569410e-06,-3.143337588081809766e-05,-5.853304185365120205e+00
5.100019999999999554e-01,-1.772904356372580490e-06,-1.296857612620138613e-05,-6.146095630997693071e+00
5.200019999999999643e-01,-3.592338479179577583e-06,-1.815602291640967258e-05,-5.801710340752692652e+00
5.300010000000000554e-01,1.246045783077122528e-06,4.797078007761280750e-06,-6.014359079976028255e+00
5.400009999999999533e-01,9.838569000789931822e-07,3.017425637903565875e-06,-6.006324338334094293e+00
5.500009999999999621e-01,1.493354687163460441e-06,3.796000742623075843e-06,-5.892354285415187576e+00
5.600009999999999710e-01,3.182271247486292200e-06,6.929169752373715219e-06,-5.214680296649954805e+00
5.700009999999999799e-01,6.058971009688092408e-06,1.166000417576825525e-05,-4.730739107885834294e+00
5.799999999999999600e-01,8.092845052484534392e-06,1.391080962735415989e-05,-4.605515143872721318e+00
5.899999999999999689e-01,9.258232135531632535e-07,1.435188226359343457e-06,-4.564732735315678802e+00
5.999999999999999778e-01,-9.324568599354939591e-06,-1.311506326425786706e-05,-4.444767412434208254e+00
6.099999999999999867e-01,5.806375039757970808e-07,7.494390511762019821e-07,-4.060332779757672483e+00
6.199999999999999956e-01,3.581584843056103557e-06,4.237700114460279701e-06,-4.438539629590426472e+00
6.300000000000000044e-01,-2.657456099542737696e-06,-2.866581496800253869e-06,-4.718724756361929451e+00
6.400000000000000133e-01,1.166248408978720863e-05,1.139185120254263805e-05,-5.015559604992376741e+00
6.500000000000000222e-01,-9.547512460249238972e-06,-8.451540913059338010e-06,-4.787291958552098770e+00
6.600000000000000311e-01,4.894520974343688233e-06,3.930933736224206559e-06,-4.975794116770365427e+00
6.700000000000000400e-01,-7.422698587848960957e-06,-5.381823210310406232e-06,-4.847774621088996483e+00
6.800000000000000488e-01,-1.746890051728032832e-06,-1.139978999664897825e-06,-4.837948441618850737e+00
6.899990000000000290e-01,-4.639443019102906335e-06,-2.730049924160873110e-06,-4.230021414938157420e+00
7.000079999999999636e-01,-1.597701178606352563e-05,-8.584311134457857798e-06,-3.826669001338685927e+00
7.100079999999999725e-01,-3.749885614782923136e-06,-1.845165225886500541e-06,-3.420394299209921662e+00
7.200069999999999526e-01,2.709690250483055593e-05,1.224675917323938361e-05,-3.188611463663567847e+00
7.300069999999999615e-01,4.575989756351487760e-06,1.895827330457890929e-06,-2.846741915972027748e+00
7.400069999999999704e-01,2.353937162441578970e-05,9.035276158536094602e-06,-2.437834590982297822e+00
7.500069999999999792e-01,-1.125347206325731834e-05,-4.000371947559611635e-06,-2.651979812656276803e+00
7.600069999999999881e-01,9.166737308916565949e-07,2.993859973229347727e-07,-2.758213118799401009e+00
7.700069999999999970e-01,1.277060597977464122e-05,3.753711576293974444e-06,-2.981272312366712196e+00
7.800070000000000059e-01,-1.119406417519114343e-05,-2.931007293338704401e-06,-2.814331211066864125e+00
7.900070000000000148e-01,-2.430403620769677639e-05,-5.616106893993773590e-06,-3.083386981043741759e+00
8.000070000000000237e-01,-1.021876935672570618e-05,-2.043545452635022001e-06,-3.058775074470900357e+00
8.100070000000000325e-01,3.302833153669903368e-06,5.541003298262896870e-07,-3.216213195364654887e+00
8.200070000000000414e-01,9.374410153041389700e-06,1.279124239482426457e-06,-2.657147510779357624e+00
8.300060000000000215e-01,8.657659397878312305e-06,9.643335466570436214e-07,-2.219781749572201424e+00
8.400060000000000304e-01,-1.044962750996854705e-05,-9.464367922473915428e-07,-1.839200153287226636e+00
8.500050000000000106e-01,-7.873940262769749503e-06,-5.807078316287452876e-07,-1.763318934748511424e+00
8.600050000000000194e-01,-7.417210951679564711e-06,-4.301770606788811648e-07,-1.296218205661920697e+00
8.700050000000000283e-01,2.522791199252832726e-06,1.212340028374222661e-07,-6.570919990498408358e-01
8.800050000000000372e-01,-1.236668113570292085e-05,-5.179988545268637360e-07,-4.774435584188141402e-01
8.900050000000000461e-01,8.559129898861628345e-07,3.250530178346675644e-08,-5.372922210660380227e-01
9.000050000000000550e-01,-5.392665314322703686e-06,-1.669831433871232230e-07,-8.937401949023179304e-01
9.100049999999999528e-01,2.306213142161706199e-05,5.409557446667642865e-07,-6.293278836415473476e-01
9.200049999999999617e-01,1.126359669757697112e-05,1.824943557557015239e-07,-6.493745157595430806e-01
9.300049999999999706e-01,2.497803589525640603e-05,2.385508225287431046e-07,-6.411135621748851321e-01
9.400049999999999795e-01,-1.386782499997226271e-05,0.000000000000000000e+00,-1.263487473025054042e+00
9.500049999999999883e-01,-1.776923965256928947e-05,2.052482643727058167e-07,-1.101735270193124672e+00
9.600039999999999685e-01,4.242188803400130691e-06,-8.486096041250032889e-08,-6.489644793966721226e-01
9.700039999999999774e-01,-4.791780115205053532e-06,1.183933748083170170e-07,-1.246964617875475773e-01
9.800039999999999862e-01,-1.478278528215762089e-05,3.763425032032567466e-07,-1.071210874063317775e-01
9.900029999999999664e-01,-6.462914479900634141e-06,1.651807357487528461e-07,1.449592566524312565e-01
1.000000000000000000e+00,-6.256310523980004290e-06,1.270290810839159460e-07,7.320529880758779306e-01
1.010000000000000009e+00,1.987213986658416078e-05,-2.076752837464251326e-07,1.367365320387562866e+00
1.020000000000000018e+00,1.119681830954391154e-05,5.430511185241418185e-08,1.677635584175891204e+00
1.030000000000000027e+00,-1.231759542241544440e-05,-2.408547529112936532e-07,1.338261082268741076e+00
1.040000000000000036e+00,-2.460409046765844178e-06,-8.407215115547822304e-08,1.438647173298668536e+00
1.050000000000000044e+00,-1.284484529873356105e-05,-6.307997756325242769e-07,1.494864998352981145e+00
1.060000000000000053e+00,1.268473531217444141e-05,8.275306337661560899e-07,1.735340834812413302e+00
1.070000000000000062e+00,-3.939911586518036519e-06,-3.138206532337574560e-07,1.143828835665767985e+00
1.080000000000000071e+00,2.574481298371265346e-06,2.332941112697548773e-07,1.037993350424464500e+00
1.090000000000000080e+00,1.543426268537288575e-05,1.563725221436605954e-06,1.079208977296679528e+00
1.100000000000000089e+00,1.421497806315235582e-05,1.620297182478966127e-06,1.540540338642019558e+00
1.110000000000000098e+00,8.513858151313633690e-06,1.111455161040268314e-06,1.650543306737116911e+00
1.120000000000000107e+00,8.794113687681231751e-06,1.295160582528243685e-06,1.805509710163673454e+00
1.129999999999999893e+00,-8.249143831837473970e-06,-1.383918928186487058e-06,2.129022986441738485e+00
1.139999999999999902e+00,-1.242087534517868561e-05,-2.397266260540211684e-06,2.770875770008015326e+00
1.149999999999999911e+00,-7.707427146888110763e-06,-1.741954392589175738e-06,3.392337483265213116e+00
1.159999999999999920e+00,-7.716965309644279754e-06,-2.017178839079108574e-06,3.372064940527966570e+00
1.169999999999999929e+00,-3.510362167476536893e-06,-1.048913728068185581e-06,3.494885351503710602e+00
1.179999999999999938e+00,-9.652395742667220685e-07,-3.259065278462395812e-07,3.586529271491574633e+00
1.189999999999999947e+00,3.162619889104142331e-06,1.203260720660607567e-06,3.937265449062278044e+00
1.199999999999999956e+00,3.522180947577102869e-07,1.493110919777713630e-07,3.536988834792103908e+00
1.209999999999999964e+00,1.197809758928364187e-05,5.563452902018565914e-06,3.330423370373450709e+00
1.219999999999999973e+00,-1.136897318810229072e-05,-5.720122018798307925e-06,2.955881964812377305e+00
1.229999999999999982e+00,-5.225601875601827622e-06,-2.838785769111821242e-06,3.304402026262180048e+00
1.239999999999999991e+00,-6.239297106833480429e-06,-3.672410602739946708e-06,3.411912875027054426e+00
1.250000000000000000e+00,9.455019976437360952e-06,6.001356396272411357e-06,3.502369775826009501e+00
1.260000000000000009e+00,1.605644549077822695e-06,1.100176472957444389e-06,3.527253783039373758e+00
1.270000000000000018e+00,-3.084260356745541915e-06,-2.289189505131183358e-06,4.084401889952730791e+00
1.280000000000000027e+00,1.210047089821783031e-05,9.866958173069284260e-06,4.853422056459635314e+00
1.290010000000000101e+00,9.275720423470428598e-06,8.350270114804741569e-06,5.067101722582802559e+00
1.300010000000000110e+00,-1.852713964063381468e-06,-1.847873174806248114e-06,5.149019353337085825e+00
1.310009999999999897e+00,-2.822667963678294275e-07,-3.118584350303396370e-07,5.180009416418902113e+00
1.320009999999999906e+00,-1.394941128549756661e-05,-1.722041471029591404e-05,5.567347854293311471e+00
1.330009999999999915e+00,-3.841824157100461143e-06,-5.322756288397941935e-06,5.414314278491775489e+00
1.340009999999999923e+00,7.235079124288676515e-07,1.123170717346418554e-06,5.221209112197036539e+00
1.350009999999999932e+00,-8.085070051018911481e-06,-1.399391884792544643e-05,4.594422714416101172e+00
1.360009999999999941e+00,5.622082642440709611e-07,1.087327675001103756e-06,4.748424197600284558e+00
1.370009999999999950e+00,-7.427154389752661033e-07,-1.623334417575187464e-06,4.707235873780978963e+00
1.380009999999999959e+00,4.043715183593336889e-06,1.006157450548950934e-05,4.770707798263913446e+00
1.390009999999999968e+00,9.951408794770317653e-07,2.850895173158138356e-06,4.556193463976986990e+00
1.400009999999999977e+00,-1.384979259693811321e-07,-4.651133046438499478e-07,4.953402869884183879e+00
1.410009999999999986e+00,1.329781356712705680e-07,5.515132021878195652e-07,5.459983355865952959e+00
1.420009999999999994e+00,-1.154946158093498556e-06,-6.346237238985234090e-06,5.753292556304336003e+00
1.430010000000000003e+00,-4.685869244304953382e-07,-3.861903195368648301e-06,5.909513605595165586e+00
1.440010000000000012e+00,1.146542565581341246e-06,1.829418185236976623e-05,6.022461067294421433e+00
1.450010000000000021e+00,2.023314523303038881e-09,2.023311488340462274e-06,6.283790141896146153e+00
1.460010000000000030e+00,-3.070398047817259184e-07,5.003495594249468503e-06,6.090167667117317052e+00
1.470010000000000039e+00,-5.530333037078703974e-08,4.506812779920847286e-07,5.855175720739874912e+00
1.480010000000000048e+00,-1.224571020251732693e-06,6.846955318289095480e-06,5.246038857738775540e+00
1.490010000000000057e+00,-4.801149907454065943e-07,2.063689324739755015e-06,5.244269245016586645e+00
1.500000000000000000e+00,1.731977515815576645e-06,-6.039772853537910666e-06,4.919128345276281955e+00
1.510000000000000009e+00,6.607953243278529836e-06,-1.939459889124133503e-05,4.753569382147805555e+00
1.520000000000000018e+00,3.925579571588897813e-06,-9.976643644249823728e-06,4.348611741152683230e+00
1.530000000000000027e+00,-2.862002420393723965e-06,6.421402630281587268e-06,4.748401340411835037e+00
1.540000000000000036e+00,-3.062674191555609565e-06,6.067241505628072613e-06,5.025377642148145974e+00
1.550000000000000044e+00,1.712131282576790961e-06,-2.999294830769168077e-06,5.270182369289149626e+00
1.560000000000000053e+00,-2.529072198126095049e-06,3.923738223396394129e-06,5.215123283534007115e+00
1.570000000000000062e+00,-4.900175667283934802e-06,6.796234064319695799e-06,5.319506951426266284e+00
1.580000000000000071e+00,-7.687232595452163589e-06,9.520323080646027802e-06,5.606609189758164469e+00
1.590000000000000080e+00,2.034774832328885271e-06,-2.253052057908057561e-06,5.569970565188307354e+00
1.600000000000000089e+00,-6.472336691412627561e-08,6.422188277236744267e-08,5.215315573104633451e+00
1.610000000000000098e+00,4.687415512203607821e-06,-4.219462291880005092e-06,4.447690117698451573e+00
1.620000000000000107e+00,3.218650887763526961e-06,-2.647858736155600285e-06,4.335530241557434827e+00
1.629999999999999893e+00,-1.189243728557794190e-05,8.982482551560692498e-06,4.135582645122262591e+00
1.639999999999999902e+00,-4.336738578484935988e-06,3.012878168590035093e-06,3.919025753609311824e+00
1.649999999999999911e+00,3.331072962886297299e-06,-2.142818636054081249e-06,3.146187555127102353e+00
1.659999999999999920e+00,-1.914747100719603860e-06,1.147799022776014840e-06,3.151973561587111394e+00
1.669999999999999929e+00,9.920211138824544932e-06,-5.519174568825413803e-06,3.274395151684345695e+00
1.679999999999999938e+00,-4.244330883666892408e-06,2.172227758479711852e-06,3.763420882267825007e+00
1.689999999999999947e+00,1.994237722213920438e-06,-9.293535016142537231e-07,3.615340073076468652e+00
1.699999999999999956e+00,1.552536237419883900e-05,-6.580615473586468516e-06,3.480595022086629076e+00
1.709999999999999964e+00,6.942348973007909691e-06,-2.645217349071048102e-06,3.635815473589887770e+00
1.719999999999999973e+00,-2.531565298996305716e-06,8.562824194229748246e-07,3.988426100780387618e+00
1.729999999999999982e+00,-1.843172763893156742e-05,5.432286700923675129e-06,3.936167954219015552e+00
1.739999999999999991e+00,-9.895906083771827567e-07,2.548442332895541105e-07,3.169843380373275288e+00
1.750000000000000000e+00,7.761115188620639402e-06,-1.747762409737554288e-06,2.777472869346439222e+00
1.760000000000000009e+00,-5.481769062023115082e-06,1.082608180792995680e-06,2.500146850269469034e+00
1.770000000000000018e+00,-1.541625819128589073e-06,2.646675344696477425e-07,2.437977776294738330e+00
1.780000000000000027e+00,9.904828508123621164e-07,-1.493537551133897197e-07,1.718834389004519680e+00
1.790000000000000036e+00,3.757259497889385380e-06,-5.096131562381043848e-07,1.364761825129044537e+00
1.800000000000000044e+00,1.181348897182396016e-05,-1.450873311838503340e-06,1.078439072089522499e+00
1.810000000000000053e+00,-5.101134717054787577e-06,5.580408414442390482e-07,1.522077421303459577e+00
1.820000000000000062e+00,-7.345031939143091718e-06,6.897817302885563340e-07,1.511586400780465578e+00
1.830000000000000071e+00,-1.563374383066472889e-06,1.253930396530556517e-07,1.442639254881470601e+00
1.840000000000000080e+00,3.883529898274776636e-06,-2.549192847993229751e-07,1.395820854821433255e+00
1.850000000000000089e+00,-3.185284389850859033e-07,1.591438251158357319e-08,1.750881412181224839e+00
1.860000000000000098e+00,3.878233955855611717e-06,-1.185351662036575866e-07,1.909212806230168757e+00
1.870000000000000107e+00,7.629289949795166387e-06,-1.022416870791098724e-07,1.556265521036078958e+00
1.879999999999999893e+00,-3.457238893682568015e-06,-2.765792497845069384e-09,1.280489120731513220e+00
1.889999999999999902e+00,2.457155356385285856e-06,2.666166866273125117e-08,8.652643816231906371e-01
1.899999999999999911e+00,4.774694771635482535e-08,9.551314133067726447e-10,8.206116091508995902e-01
1.909999999999999920e+00,-2.110750704546823808e-06,-5.394753713596749130e-08,2.339425169058231835e-01
1.919999999999999929e+00,-5.912171863483022247e-06,-1.490344219747890488e-07,-1.975206472362960597e-01
1.929999999999999938e+00,-5.492092674000629986e-06,-1.090396294255334641e-07,-7.859096113354560043e-01
1.940010000000000012e+00,5.217005032473498854e-06,6.600026168121620507e-08,-6.365299901674661420e-01
1.950010000000000021e+00,-1.101084238864181054e-06,-7.157197853776207082e-09,-7.266542586074807852e-01
1.960010000000000030e+00,1.924621227335017401e-06,-2.213319944734674402e-09,-7.742335041601225987e-01
1.970010000000000039e+00,1.139366945967868867e-06,-1.099540066541702669e-08,-9.255420601146417958e-01
1.980010000000000048e+00,-6.233346482305626374e-06,1.159599577636820104e-07,-6.199534525757678383e-01
1.990010000000000057e+00,6.065861429198964199e-06,-1.343917566371580799e-07,-3.288648107165449419e-01
2.000010000000000066e+00,-3.223800885967591236e-06,8.126578737835405612e-08,-3.095290459682936701e-01
